instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	r4.2xlarge	16	122000	9730	5	100000000	1	214	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	1	214	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	1	216	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	1	216	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	1	218	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	25	316	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	25	316	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	25	316	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	25	318	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	25	320	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	50	410	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	50	410	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	50	412	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	50	412	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	50	412	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	100	408	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	100	410	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	100	410	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	100	410	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9730	5	100000000	100	410	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	1	298	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	1	298	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	1	300	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	1	300	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	1	300	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	25	446	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	25	450	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	25	450	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	25	452	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	25	456	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	50	588	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	50	590	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	50	592	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	50	596	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	50	596	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	100	590	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	100	592	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	100	592	0.621439738915361	0.699904926309755	0.683905823195575
