instance_count	machine_type	slots	memory	data_size_MB	use_dense	examples	features	pages	classes	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	c4.2xlarge	32	60000	bigdata	False	10000	100000	20000000	20000	1297	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	False	10000	100000	20000000	20000	1366	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	False	10000	100000	20000000	20000	1504	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	False	10000	100000	20000000	20000	1443	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	False	10000	100000	20000000	20000	1368	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	False	10000	1000	500000	100	747	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	False	10000	1000	500000	100	712	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	False	10000	1000	500000	100	805	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	False	10000	1000	500000	100	785	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	False	10000	1000	500000	100	659	1.0	0.975170773880192	0.995589462652916
4	c4.large	8	12000	bigdata	False	10000	100000	20000000	20000	5668	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	False	10000	100000	20000000	20000	5703	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	False	10000	100000	20000000	20000	5980	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	False	10000	100000	20000000	20000	6431	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	False	10000	100000	20000000	20000	6746	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	False	10000	1000	500000	100	3127	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	False	10000	1000	500000	100	3404	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	False	10000	1000	500000	100	2385	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	False	10000	1000	500000	100	3209	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	False	10000	1000	500000	100	2634	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.xlarge	16	28000	bigdata	False	10000	100000	20000000	20000	2809	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	False	10000	100000	20000000	20000	2997	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	False	10000	100000	20000000	20000	2753	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	False	10000	100000	20000000	20000	2963	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	False	10000	100000	20000000	20000	2973	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	False	10000	1000	500000	100	1361	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	False	10000	1000	500000	100	1188	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	False	10000	1000	500000	100	1587	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	False	10000	1000	500000	100	1631	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	False	10000	1000	500000	100	1536	0.981580131098954	0.916863624781091	1.0
4	m4.2xlarge	32	128000	bigdata	False	10000	100000	20000000	20000	1379	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	False	10000	100000	20000000	20000	1726	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	False	10000	100000	20000000	20000	1659	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	False	10000	100000	20000000	20000	1371	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	False	10000	100000	20000000	20000	1872	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	False	10000	1000	500000	100	758	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	False	10000	1000	500000	100	991	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	False	10000	1000	500000	100	780	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	False	10000	1000	500000	100	802	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	False	10000	1000	500000	100	969	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.large	8	32000	bigdata	False	10000	100000	20000000	20000	6773	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	False	10000	100000	20000000	20000	7193	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	False	10000	100000	20000000	20000	8008	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	False	10000	100000	20000000	20000	7000	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	False	10000	100000	20000000	20000	6371	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	4207	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	3895	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	3617	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	3908	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	2834	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	4027	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	2689	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	3832	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	3035	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	3270	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1749	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1496	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1448	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1521	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1707	0.724716697086843	0.939577226630061	0.806717869741047
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1967	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1487	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1553	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1780	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	2135	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	886	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	874	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	785	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	759	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	818	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	7938	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	5357	0.626835516578723	1.0	0.670704216951795
