instance_count	machine_type	slots	memory	data_size_MB	pages	convergence_criterion	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	c4.2xlarge	32	60000	huge	5000000	0.0	544	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5000000	0.0	483	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5000000	0.0	336	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5000000	0.0	521	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5000000	0.0	472	1.0	0.975170773880192	0.995589462652916
4	m4.2xlarge	32	128000	bigdata	50000000	0.0	1045	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	50000000	0.0	838	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	50000000	0.0	935	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	50000000	0.0	864	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	50000000	0.0	955	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5000000	0.0	352	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5000000	0.0	320	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5000000	0.0	301	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5000000	0.0	347	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5000000	0.0	305	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.large	8	32000	huge	5000000	0.0	1515	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5000000	0.0	1353	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5000000	0.0	1360	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5000000	0.0	1299	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5000000	0.0	1405	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.xlarge	16	64000	huge	5000000	0.0	819	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5000000	0.0	648	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5000000	0.0	757	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5000000	0.0	672	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5000000	0.0	779	0.724716697086843	0.939577226630061	0.806717869741047
4	r4.2xlarge	32	244000	bigdata	50000000	0.0	711	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	50000000	0.0	620	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	50000000	0.0	555	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	50000000	0.0	537	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	50000000	0.0	585	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	5000000	0.0	278	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	5000000	0.0	286	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	5000000	0.0	264	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	5000000	0.0	300	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	5000000	0.0	298	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.large	8	60000	bigdata	50000000	0.0	2453	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	50000000	0.0	2788	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	50000000	0.0	2549	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	50000000	0.0	2677	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	50000000	0.0	2260	0.626835516578723	1.0	0.670704216951795
